bridgeDomain,gateway,prefixLength,tenant,vrf,appProfile,descriptioin,epg,domain,domainType,contract,vlanEncaps,encapsType,filter,l3Out,multivrf,rp,dhcpRelay,dhcpProviderIP,aep,mode
BD_WEB,10.0.1.254,24,ltrato-2002,ltrato-2002-vrf,WEB_APP,3 Tier Web App,WEB_EPG,CL-VMM,vmm,WebAppContract,199,auto,web_app_allow,NA,NA,10.0.1.254,YES,10.0.1.101,Infrastructure,trunk
BD_APP,10.0.2.254,24,ltrato-2002,ltrato-2002-vrf,WEB_APP,3 Tier Web App,APP_EPG,CL-VMM,vmm,WebAppContract,200,auto,web_app_allow,NA,NA,NA,NA,NA,Infrastructure,trunk
BD_DB,10.0.3.254,24,ltrato-2002,ltrato-2002-vrf,WEB_APP,3 Tier Web App,DB_EPG,CL-VMM,vmm,WebAppContract,201,auto,web_app_allow,NA,NA,NA,NA,NA,Infrastructure,trunk
BD_100,10.100.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_100,CL-VMM,vmm,WebAppContract,100,auto,web_app_allow,NA,NA,10.0.1.254,YES,10.0.1.101,NA,NA
BD_101,10.101.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_101,CL-VMM,vmm,WebAppContract,101,auto,web_app_allow,NA,NA,NA,NA,NA,NA,NA
BD_102,10.102.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_102,CL-VMM,vmm,WebAppContract,102,auto,web_app_allow,NA,NA,NA,YES,NA,NA,NA
BD_103,10.103.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_103,CL-VMM,vmm,WebAppContract,103,auto,web_app_allow,NA,NA,NA,YES,NA,NA,NA
BD_104,10.104.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_104,CL-VMM,vmm,WebAppContract,104,auto,web_app_allow,NA,NA,NA,YES,NA,NA,NA
BD_105,10.105.1.254,24,ltrato-2002,ltrato-2002-vrf,CL-2022,3 Tier Web App,EPG_105,CL-VMM,vmm,WebAppContract,105,auto,web_app_allow,NA,NA,NA,YES,NA,NA,NA
