"e9d837f","jc3943","Thu, 25 May 2023 18:08:12 -0400","added dcloudAddHostToVcenter.yml for demo",	 2 files changed, 65 insertions(+)	
"0f8c4b7","jc3943","Thu, 25 May 2023 10:09:28 -0400","updated dcloudUbuntuVm.yml for ova properties",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"15fd715","jc3943","Thu, 25 May 2023 10:04:12 -0400","updated dcloudUbuntuVm.yml for ova properties",	 1 file changed, 2 deletions(-)	
"1e33e30","jc3943","Thu, 25 May 2023 09:54:05 -0400","updated dcloudUbuntuVm.yml for ova properties",	 1 file changed, 8 insertions(+)	
"461d6ec","dcloud","Thu, 25 May 2023 00:24:02 -0400","updated dcloudUbuntuVm.yml",	 1 file changed, 6 insertions(+), 6 deletions(-)	
"6ef13d0","jc3943","Wed, 24 May 2023 21:28:07 -0400","modified dcloudUbuntuVm.yml",	 1 file changed, 2 insertions(+), 20 deletions(-)	
"9f4281d","jc3943","Wed, 24 May 2023 21:18:18 -0400","modified dcloudUbuntuVm.yml",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"54be774","jc3943","Wed, 24 May 2023 21:06:10 -0400","updated dcloudUbnutuVm.yml to fix typo",	 1 file changed, 18 insertions(+)	
"c690d4b","jc3943","Wed, 24 May 2023 20:59:36 -0400","Merge branch 'ltrato-2002'",	"500a910","jc3943","Wed, 24 May 2023 20:59:14 -0400","updated dcloudUbnutuVm.yml to fix typo",	 1 file changed, 1 insertion(+), 2 deletions(-)
	"bb4697a","jc3943","Wed, 24 May 2023 20:51:43 -0400","Merge branch 'ltrato-2002'",	"b73bf2a","jc3943","Wed, 24 May 2023 20:51:18 -0400","updated dcloudUbnutuVm.yml to fix typo",
 1 file changed, 2 insertions(+), 2 deletions(-)		"c1f2db1","jc3943","Wed, 24 May 2023 20:42:00 -0400","Merge branch 'ltrato-2002'",
"1992355","jc3943","Wed, 24 May 2023 20:41:32 -0400","merged ltrato-2002",	 1 file changed, 3 insertions(+), 39 deletions(-)	
"f669e72","jc3943","Wed, 24 May 2023 19:20:29 -0400","Merge branch 'ltrato-2002'",	"6bd8f05","jc3943","Wed, 24 May 2023 19:19:51 -0400","updated dcloudUbnutuVm.yml to fix typo",	 1 file changed, 1 insertion(+), 1 deletion(-)
	"6dfbd66","jc3943","Wed, 24 May 2023 18:32:31 -0400","Merge branch 'ltrato-2002'",	"0f24f0b","jc3943","Wed, 24 May 2023 18:32:08 -0400","adding uvuntuTmplCreate.yml",
 2 files changed, 150 insertions(+), 30 deletions(-)		"6a30ca1","jc3943","Wed, 24 May 2023 11:17:31 -0400","Merge branch 'ltrato-2002'",
"ba7594d","jc3943","Wed, 24 May 2023 11:17:05 -0400","updated dcloud-aciJenkinsFile and fmcDevReg.tf",	 2 files changed, 32 insertions(+), 13 deletions(-)	
"a2ac7b2","jc3943","Tue, 23 May 2023 01:35:09 -0400","fixed nsoAddFmc.yml for ssl accept any",	 2 files changed, 65 insertions(+), 1 deletion(-)	
"8eec5f8","jc3943","Tue, 23 May 2023 00:21:33 -0400","fixed minor issues with fmcDevReg.tf and added ned-settings, ssh config to nsoAddApic.yml - functionally tested all",	 5 files changed, 33 insertions(+), 26 deletions(-)	
"77d4f4e","jc3943","Mon, 22 May 2023 16:59:00 -0400","modified nsoAddApic.yml to configure ned-setting for apic",	 2 files changed, 9 insertions(+), 2 deletions(-)	
"e30c07f","jc3943","Mon, 22 May 2023 11:00:25 -0400","added fmc terraform code to add ftd",	 5 files changed, 105 insertions(+)	
"8f3b33a","jc3943","Thu, 18 May 2023 20:08:00 -0400","adding pause in ansible for fabric discovery temporarily",	 3 files changed, 11 insertions(+), 2 deletions(-)	
"dd7bb0f","jc3943","Wed, 17 May 2023 06:39:29 -0400","updated api keys for dev claim status python script",	 2 files changed, 3 insertions(+), 2 deletions(-)	
"c2f55fb","jc3943","Tue, 16 May 2023 21:59:23 -0400","updated dev claim jenkinsfile python validation script to point to correct intersight",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"26bafb4","jc3943","Tue, 16 May 2023 21:54:01 -0400","updated hostIpAddrs.csv to point to correct new dns",	 2 files changed, 4 insertions(+), 4 deletions(-)	
"35549bb","jc3943","Tue, 16 May 2023 21:48:06 -0400","modfied vars to point to correct api",	 2 files changed, 11 insertions(+), 1 deletion(-)	
"7b8d57c","jc3943","Tue, 16 May 2023 21:39:44 -0400","added TF_VAR to jenkinsfile env",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"6b4e77f","jc3943","Tue, 16 May 2023 21:38:04 -0400","added TF_VAR to jenkinsfile env",	 1 file changed, 2 insertions(+)	
"f4ccef2","jc3943","Tue, 16 May 2023 21:32:23 -0400","added kubeconfig data for k8s",	 1 file changed, 19 insertions(+)	
"0ae9418","jc3943","Tue, 16 May 2023 21:26:27 -0400","modified intersight api keys for os isntall tf",	 2 files changed, 6 insertions(+), 6 deletions(-)	
"af1f60a","jc3943","Tue, 16 May 2023 21:22:06 -0400","updating intersight api keys and repo paths, adding nexDash functions",	 5 files changed, 16 insertions(+), 12 deletions(-)	
"ca67fe7","jc3943","Tue, 16 May 2023 08:33:55 -0400","adding nexus dashboard scripts to add sites",	 3 files changed, 68 insertions(+)	
"a00196d","jc3943","Tue, 16 May 2023 07:37:35 -0400","updated switch-inventory.csv for apicIp",	 2 files changed, 71 insertions(+), 6 deletions(-)	
